name,unit,type,dept
情報学総論,2,facRequired,0
コンピュータ入門,2,facRequired,0
コンピュータシステム演習,1,facRequired,0
日本語表現法,2,facRequired,0
コミュニケーションスキルズⅠ,1,facRequired,0
プログラミング,3,facRequired,0
学習マネジメント,2,facRequired,0
情報倫理と法,2,facRequired,0
情報学方法論,1,facRequired,0
リーディングスキルズⅠ,1,facSelect,0
ライティングスキルズⅠ,1,facSelect,0
コミュニケーションスキルズⅡ,1,facSelect,0
リーディングスキルズⅡ,1,facSelect,0
ライティングスキルズⅡ,1,facSelect,0
情報学特別講義Ⅱ,2,facSelect,0
リーディングスキルズⅢ,1,facSelect,0
コミュニケーションスキルズⅢ,1,facSelect,0
ライティングスキルズⅢ-1,1,facSelect,0
情報学特別講義Ⅰ,2,facSelect,0
情報学特別講義Ⅲ,2,facSelect,0
ライティングスキルズⅢ-2,1,facSelect,0
ライティングスキルズⅢ-3,1,facSelect,0
問題分析とモデリング,2,deptRequired,2
コンピュータネットワーク基礎,2,deptRequired,2
統計学入門,2,deptRequired,2
アルゴリズムとデータ構造基礎,2,deptRequired,2
データ処理プログラミング,2,deptRequired,2
データベース論,2,deptRequired,2
情報システム基礎演習,2,deptRequired,2
データ分析応用論,2,deptRequired,2
経営のしくみ,2,deptRequired,2
ビジネス計画論,2,deptRequired,2
ユーザビリティ設計・評価論,2,deptRequired,2
Webシステム設計演習,2,deptRequired,2
データ分析応用演習,2,deptRequired,2
情報資源構築論,2,deptRequired,2
プロジェクトマネジメント,2,deptRequired,2
情報セキュリティ,2,deptRequired,2
情報学方法論演習,2,deptRequired,2
行動情報学演習,1,deptRequired,2
卒業研究,6,deptRequired,2
線形代数学Ⅰ,2,deptSelectRequiredA,2
微分積分学Ⅰ,2,deptSelectRequiredA,2
線形代数学Ⅱ,2,deptSelectRequiredA,2
微分積分学Ⅱ,2,deptSelectRequiredA,2
離散数学,2,deptSelectRequiredA,2
多変量データ解析,2,deptSelectRequiredA,2
情報と心理,2,deptSelectRequiredB,2
認知科学,2,deptSelectRequiredB,2
